0;333;33.3;Creme de Leite light ;\N;\N;\N;36.63;\N;\N;\N;\N;5
0;750;83;Manteiga com sal ;\N;\N;\N;450;\N;\N;\N;\N;5
0;750;83;Manteiga sem sal ;\N;\N;\N;0;\N;\N;\N;\N;5
0;212;10.9;CarneMoída cozida ;\N;\N;\N;52;\N;\N;\N;\N;2
0;272;15.8;Almôega frita ;\N;\N;\N;1030;\N;\N;\N;\N;2
0;373;27.7;Costela assada ;\N;\N;\N;92;\N;\N;\N;\N;2
0;219;8.9;Coxão mole cozido ;\N;\N;\N;44;\N;\N;\N;\N;2
0;194;4.5;Contra-filé s/ gor. Grelhado;\N;\N;\N;58;\N;\N;\N;\N;2
0;278;15.5;Contra-filé c/ gor. Grelhado;\N;\N;\N;57;\N;\N;\N;\N;2
0;220;8.8;Filé mignon Grelhado ;\N;\N;\N;58;\N;\N;\N;\N;2
0;219;7.3;Patinho ;\N;\N;\N;60;\N;\N;\N;\N;2
0;238;11.3;Picanha sem gordura ;\N;\N;\N;61;\N;\N;\N;\N;2
0;263;11.9;Charque Cozido ;\N;\N;\N;1443;\N;\N;\N;\N;2
0;225;9;fígado de boi grelhado ;\N;\N;\N;82;\N;\N;\N;\N;2
0;315;24.8;Língua cozida ;\N;\N;\N;59;\N;\N;\N;\N;2
0;133;4.5;Moongo ;\N;\N;\N;38;\N;\N;\N;\N;2
0;207;12.1;Coração de galinha ;\N;\N;\N;128;\N;\N;\N;\N;2
0;215;10.4;Coxa c/ pele assada;\N;\N;\N;95;\N;\N;\N;\N;2
0;167;5.8;Coxa s/ pele cozida;\N;\N;\N;64;\N;\N;\N;\N;2
0;260;15.2;Sobrecoxa c/pele ass. ;\N;\N;\N;96;\N;\N;\N;\N;2
0;233;12;Sobrecoxa s/pele ass.;\N;\N;\N;106;\N;\N;\N;\N;2
0;212;7.6;Peito com pele assado ;\N;\N;\N;56;\N;\N;\N;\N;2
0;159;3.2;Peito sem pele cozido ;\N;\N;\N;36;\N;\N;\N;\N;2
0;280;17.4;Bisteca grelhada ;\N;\N;\N;51;\N;\N;\N;\N;2
0;402;30.3;Costela assada ;\N;\N;\N;63;\N;\N;\N;\N;2
0;410;38;Bacon ;\N;\N;\N;1050;\N;\N;\N;\N;2
0;140;4;Bacalhau  salgado refogado;\N;\N;\N;1256;\N;\N;\N;\N;2
0;116;0.7;Cação Posta Cozido ;\N;\N;\N;115;\N;\N;\N;\N;2
0;88;1;Camarão Água Salgada Cozido ;\N;\N;\N;367;\N;\N;\N;\N;2
0;122;0.9;Merluza Filé assado;\N;\N;\N;120;\N;\N;\N;\N;2
0;154;3.6;Pescada filé frita ;\N;\N;\N;115;\N;\N;\N;\N;2
0;192;4;Pintado assado;\N;\N;\N;81;\N;\N;\N;\N;2
0;296;21.9;Lingüiça porco grelhada ;\N;\N;\N;1456;\N;\N;\N;\N;2
\N;129;6.7;Apresuntado ;\N;\N;\N;943;\N;\N;\N;\N;2
